Record_ID,Timestamp,Soil_Moisture,Soil_Temperature,Soil_pH,Humidity,Ambient_Temperature,Solar_Radiation,Wind_Speed,NDVI_Index,5G_Latency_ms,Plant_Health_Status
49,2024-01-03 00:00:00,26.87,23.59,7.63,82.95,36.75,805.72,8.12,0.883,6.1,Moderate Stress
50,2024-01-03 01:00:00,12.39,12.04,6.0,90.85,18.47,988.17,1.77,0.214,7.88,Healthy
51,2024-01-03 02:00:00,43.78,21.46,7.84,63.38,18.18,847.93,2.92,0.69,7.82,Moderate Stress
52,2024-01-03 03:00:00,36.01,22.12,7.22,91.77,19.39,568.17,3.43,0.488,5.73,Healthy
53,2024-01-03 04:00:00,42.58,14.14,7.56,64.82,39.01,923.01,6.57,0.704,6.62,High Stress
54,2024-01-03 05:00:00,40.79,33.64,6.89,55.62,32.33,527.88,7.62,0.642,7.82,Moderate Stress
55,2024-01-03 06:00:00,28.92,31.25,7.45,85.13,35.03,619.95,7.55,0.368,8.57,Moderate Stress
56,2024-01-03 07:00:00,41.87,26.73,5.54,62.04,24.94,581.7,5.2,0.835,7.86,High Stress
57,2024-01-03 08:00:00,8.54,21.56,7.55,60.67,23.41,558.1,8.15,0.569,4.19,Healthy
58,2024-01-03 09:00:00,12.84,20.29,5.6,61.87,20.86,820.15,4.48,0.817,9.97,Moderate Stress
59,2024-01-03 10:00:00,6.81,26.27,7.72,85.04,27.02,621.42,1.41,0.505,4.91,Moderate Stress
60,2024-01-03 11:00:00,18.01,23.64,7.98,84.08,28.8,453.37,5.73,0.939,1.22,Healthy
61,2024-01-03 12:00:00,20.55,11.56,6.24,56.23,30.79,406.53,9.53,0.778,4.26,Moderate Stress
62,2024-01-03 13:00:00,15.85,22.81,6.03,51.66,21.43,230.2,7.97,0.924,2.15,Moderate Stress
63,2024-01-03 14:00:00,38.15,30.16,7.41,61.98,38.72,666.56,5.87,0.586,2.09,High Stress
64,2024-01-03 15:00:00,19.27,21.48,6.13,67.23,19.24,383.97,6.54,0.555,3.53,Healthy
65,2024-01-03 16:00:00,16.24,11.3,7.66,45.49,39.14,318.51,9.32,0.767,1.48,Moderate Stress
66,2024-01-03 17:00:00,26.71,29.66,5.76,81.61,15.37,723.06,4.4,0.86,7.2,Moderate Stress
67,2024-01-03 18:00:00,10.64,15.03,5.81,61.62,27.03,744.97,3.45,0.923,1.67,High Stress
68,2024-01-03 19:00:00,37.09,16.47,7.95,51.71,23.33,801.72,9.78,0.443,2.83,Moderate Stress
69,2024-01-03 20:00:00,7.98,14.12,7.18,36.94,26.23,602.86,8.66,0.799,1.84,High Stress
70,2024-01-03 21:00:00,44.48,18.26,7.62,45.52,29.27,915.24,3.37,0.358,1.57,Moderate Stress
71,2024-01-03 22:00:00,35.89,28.92,6.31,91.7,25.89,949.07,4.75,0.609,3.41,High Stress
72,2024-01-03 23:00:00,12.95,22.98,7.19,49.83,25.37,845.9,4.27,0.335,6.15,Healthy
73,2024-01-04 00:00:00,5.22,15.12,6.99,40.98,33.32,708.47,1.66,0.461,9.68,Healthy
74,2024-01-04 01:00:00,37.62,31.95,7.01,59.94,32.15,442.98,9.59,0.899,8.88,Moderate Stress
75,2024-01-04 02:00:00,33.27,31.99,7.21,49.96,35.83,986.36,4.16,0.31,8.88,Moderate Stress
76,2024-01-04 03:00:00,34.16,31.76,6.94,32.29,21.25,419.31,8.78,0.674,2.58,High Stress
77,2024-01-04 04:00:00,35.85,15.97,6.57,51.0,30.24,362.13,2.06,0.645,3.38,High Stress
78,2024-01-04 05:00:00,7.96,21.28,6.19,65.37,29.63,553.72,5.57,0.291,1.69,Healthy
79,2024-01-04 06:00:00,19.34,34.62,7.42,65.86,24.24,245.47,0.43,0.444,8.01,Moderate Stress
80,2024-01-04 07:00:00,9.63,29.3,6.07,53.18,27.15,982.8,7.69,0.622,1.63,High Stress
81,2024-01-04 08:00:00,39.52,10.68,7.23,59.07,22.84,670.75,5.89,0.34,6.01,Healthy
82,2024-01-04 09:00:00,29.93,11.63,6.08,92.76,18.55,645.56,6.33,0.8,3.23,Healthy
83,2024-01-04 10:00:00,18.24,21.6,7.06,54.53,20.35,724.64,0.71,0.929,3.19,High Stress
84,2024-01-04 11:00:00,7.54,32.73,7.37,46.78,17.64,597.62,2.27,0.361,9.92,Moderate Stress
85,2024-01-04 12:00:00,17.44,23.47,6.05,45.83,32.08,225.65,0.93,0.34,7.81,Healthy
86,2024-01-04 13:00:00,18.01,22.45,5.65,59.75,31.52,689.85,3.03,0.541,8.53,High Stress
87,2024-01-04 14:00:00,34.18,12.64,5.83,79.37,38.77,772.94,6.35,0.761,6.15,Healthy
88,2024-01-04 15:00:00,30.5,26.42,7.01,43.39,33.24,533.4,5.75,0.411,8.84,Moderate Stress
89,2024-01-04 16:00:00,40.49,30.55,7.62,76.1,16.3,805.84,6.2,0.215,6.81,High Stress
90,2024-01-04 17:00:00,23.89,19.51,5.61,31.37,37.11,381.6,5.58,0.606,9.52,Moderate Stress
91,2024-01-04 18:00:00,9.78,29.39,7.34,57.23,36.57,377.02,2.88,0.917,3.53,Moderate Stress
92,2024-01-04 19:00:00,33.53,34.11,6.35,80.43,26.08,329.13,2.6,0.493,6.36,Healthy
93,2024-01-04 20:00:00,35.43,15.09,6.7,52.02,29.65,497.6,1.54,0.515,7.21,Moderate Stress
94,2024-01-04 21:00:00,27.45,23.08,7.82,66.64,39.4,877.61,8.52,0.927,4.54,Healthy
95,2024-01-04 22:00:00,35.84,17.18,6.33,43.32,28.31,862.33,6.24,0.721,8.92,High Stress
96,2024-01-04 23:00:00,24.75,29.82,6.66,78.23,37.63,506.26,2.03,0.739,9.82,High Stress
97,2024-01-05 00:00:00,25.91,24.44,5.53,33.4,17.08,671.29,1.94,0.622,5.44,Healthy
98,2024-01-05 01:00:00,22.1,25.86,5.7,85.42,19.78,776.65,8.76,0.931,4.52,Healthy
99,2024-01-05 02:00:00,6.02,29.95,6.15,42.88,26.02,392.97,7.48,0.717,5.25,Healthy
100,2024-01-05 03:00:00,9.32,19.9,5.57,86.84,29.62,334.51,6.66,0.871,8.67,Moderate Stress
101,2024-01-05 04:00:00,6.26,32.88,7.08,52.91,35.41,977.68,4.19,0.725,6.81,High Stress
102,2024-01-05 05:00:00,30.46,23.33,6.57,76.97,39.71,694.05,2.77,0.751,1.4,High Stress
103,2024-01-05 06:00:00,17.57,13.95,6.87,50.75,24.72,985.13,9.8,0.418,5.88,Moderate Stress
104,2024-01-05 07:00:00,25.34,27.4,5.94,88.88,16.19,470.2,8.01,0.428,1.16,Healthy
105,2024-01-05 08:00:00,41.3,29.83,6.24,38.23,35.03,762.43,3.16,0.787,8.01,High Stress
106,2024-01-05 09:00:00,14.97,17.92,7.16,41.6,30.11,378.08,8.51,0.423,3.95,Moderate Stress
107,2024-01-05 10:00:00,21.42,31.43,7.91,62.05,19.96,408.96,7.64,0.622,5.25,Healthy
108,2024-01-05 11:00:00,35.22,32.65,5.63,35.33,27.37,609.52,3.11,0.387,8.19,High Stress
109,2024-01-05 12:00:00,14.15,16.92,7.73,42.74,33.56,455.69,4.38,0.813,1.42,Healthy
110,2024-01-05 13:00:00,8.08,34.59,6.94,91.34,34.26,334.1,2.02,0.283,2.43,Moderate Stress
111,2024-01-05 14:00:00,16.59,13.52,6.91,93.47,27.49,410.3,1.29,0.822,4.58,High Stress
112,2024-01-05 15:00:00,11.45,15.05,6.75,54.46,22.63,228.6,7.28,0.652,3.07,Healthy
113,2024-01-05 16:00:00,42.19,14.61,5.67,90.01,39.34,763.54,2.82,0.34,4.04,Healthy
114,2024-01-05 17:00:00,37.32,32.35,5.72,65.41,31.58,593.69,8.24,0.607,9.98,Healthy
115,2024-01-05 18:00:00,30.34,26.36,7.0,47.53,25.21,275.39,9.96,0.412,8.43,Moderate Stress
116,2024-01-05 19:00:00,39.86,13.8,6.35,75.66,22.01,337.36,0.95,0.443,8.96,Healthy
117,2024-01-05 20:00:00,37.15,21.01,7.79,72.83,33.28,282.03,4.84,0.464,9.43,High Stress
118,2024-01-05 21:00:00,12.46,25.38,6.52,94.29,21.05,690.07,8.06,0.247,4.07,High Stress
119,2024-01-05 22:00:00,40.7,12.09,5.86,47.23,19.29,275.37,7.93,0.939,3.67,Healthy
120,2024-01-05 23:00:00,26.57,32.06,7.29,73.68,28.25,803.43,7.65,0.224,3.11,Moderate Stress
121,2024-01-06 00:00:00,37.3,30.09,6.23,33.38,22.25,216.41,3.62,0.697,8.47,High Stress
122,2024-01-06 01:00:00,40.84,22.63,6.81,37.39,30.72,399.5,4.65,0.478,7.12,High Stress
123,2024-01-06 02:00:00,17.72,34.18,7.24,30.25,17.95,912.53,6.03,0.685,3.13,High Stress
124,2024-01-06 03:00:00,9.4,20.44,7.75,94.96,31.37,774.83,9.74,0.467,4.39,Healthy
125,2024-01-06 04:00:00,14.12,34.6,7.48,82.15,22.08,258.37,3.41,0.705,5.56,High Stress
126,2024-01-06 05:00:00,22.08,26.7,7.19,81.14,15.01,856.9,9.25,0.747,5.75,Healthy
127,2024-01-06 06:00:00,37.72,25.87,7.2,63.13,18.17,594.43,2.84,0.718,9.0,Healthy
128,2024-01-06 07:00:00,39.43,14.15,7.86,49.5,38.34,877.43,9.89,0.285,4.43,Healthy
129,2024-01-06 08:00:00,5.28,32.05,6.24,39.83,36.68,680.59,6.77,0.693,9.18,Healthy
130,2024-01-06 09:00:00,25.43,20.69,5.5,48.5,20.84,745.47,4.74,0.41,4.97,Healthy
131,2024-01-06 10:00:00,21.7,14.06,6.18,54.44,34.46,994.8,6.21,0.222,7.72,High Stress
132,2024-01-06 11:00:00,13.88,10.32,6.04,79.16,30.21,385.87,2.87,0.511,9.37,Healthy
133,2024-01-06 12:00:00,9.79,23.99,7.15,65.08,39.27,699.16,2.89,0.525,9.17,Healthy
134,2024-01-06 13:00:00,18.5,23.18,7.08,35.04,24.34,568.26,1.31,0.55,1.51,Healthy
135,2024-01-06 14:00:00,42.72,27.98,6.98,31.17,32.04,231.56,1.32,0.729,2.85,Healthy
136,2024-01-06 15:00:00,17.93,32.26,5.54,36.65,16.59,211.58,3.61,0.432,5.29,Healthy
137,2024-01-06 16:00:00,25.75,11.99,7.32,56.68,24.91,295.38,7.68,0.436,4.88,Healthy
138,2024-01-06 17:00:00,33.12,28.29,6.31,90.66,39.1,719.27,6.16,0.245,6.77,High Stress
139,2024-01-06 18:00:00,19.55,14.69,7.16,71.43,28.47,653.73,1.21,0.715,9.5,Healthy
140,2024-01-06 19:00:00,43.87,31.45,6.89,82.12,22.2,642.74,8.55,0.626,2.01,Healthy
141,2024-01-06 20:00:00,43.5,30.48,6.36,60.31,18.01,225.49,6.09,0.462,5.07,High Stress
142,2024-01-06 21:00:00,15.07,23.52,5.84,53.51,32.59,575.44,9.62,0.729,2.73,High Stress
143,2024-01-06 22:00:00,24.89,27.76,5.74,37.05,31.12,939.7,6.77,0.603,9.05,Moderate Stress
144,2024-01-06 23:00:00,17.04,17.86,7.58,86.94,24.35,518.07,1.92,0.552,9.68,High Stress
145,2024-01-07 00:00:00,16.39,21.78,7.8,80.91,38.77,699.94,4.84,0.583,5.31,High Stress
146,2024-01-07 01:00:00,6.48,30.54,7.12,40.93,15.56,823.85,6.56,0.677,1.94,Healthy
147,2024-01-07 02:00:00,29.38,21.48,5.76,63.3,22.59,827.14,0.48,0.695,8.07,Moderate Stress
148,2024-01-07 03:00:00,25.11,18.94,6.51,61.68,38.03,615.42,0.35,0.417,7.27,Healthy
149,2024-01-07 04:00:00,7.06,22.36,7.32,70.63,23.02,886.36,1.47,0.306,4.19,Moderate Stress
150,2024-01-07 05:00:00,16.15,30.71,7.45,91.5,21.31,513.1,2.67,0.317,8.99,Healthy
151,2024-01-07 06:00:00,41.33,18.38,5.8,67.69,28.36,910.95,4.41,0.68,9.78,High Stress
152,2024-01-07 07:00:00,14.58,14.34,5.5,65.11,35.6,392.18,4.98,0.855,6.02,High Stress
153,2024-01-07 08:00:00,10.8,27.8,7.28,33.27,17.58,424.17,1.55,0.507,6.09,Moderate Stress
154,2024-01-07 09:00:00,24.58,30.65,6.39,34.09,38.58,242.5,6.8,0.327,3.68,Healthy
155,2024-01-07 10:00:00,44.43,12.52,6.14,42.18,34.88,836.47,6.04,0.767,6.26,Healthy
156,2024-01-07 11:00:00,14.68,16.0,5.53,32.11,19.53,533.64,3.09,0.824,4.96,High Stress
157,2024-01-07 12:00:00,31.89,13.55,6.85,78.32,32.8,383.29,0.33,0.86,3.72,High Stress
158,2024-01-07 13:00:00,35.46,18.7,7.63,77.02,24.62,385.43,0.96,0.655,1.6,Moderate Stress
159,2024-01-07 14:00:00,14.51,21.26,7.89,38.84,25.06,921.12,4.04,0.846,3.27,High Stress
160,2024-01-07 15:00:00,34.13,28.72,6.91,84.35,34.58,867.13,1.71,0.212,2.78,Moderate Stress
161,2024-01-07 16:00:00,19.71,26.28,6.79,40.06,39.07,642.82,3.89,0.28,5.88,Moderate Stress
162,2024-01-07 17:00:00,30.29,25.52,5.71,49.58,18.17,692.89,6.36,0.269,6.42,Moderate Stress
163,2024-01-07 18:00:00,30.34,18.81,6.87,46.18,25.52,579.46,5.56,0.734,6.48,Moderate Stress
164,2024-01-07 19:00:00,26.43,31.04,6.45,54.2,27.02,513.33,2.47,0.252,4.49,High Stress
165,2024-01-07 20:00:00,8.61,21.78,7.02,46.55,24.41,932.38,3.57,0.572,4.79,Moderate Stress
166,2024-01-07 21:00:00,38.41,34.48,6.47,61.78,24.08,300.49,6.22,0.555,8.51,High Stress
167,2024-01-07 22:00:00,17.83,25.85,6.1,56.48,16.31,534.76,8.64,0.433,5.29,Moderate Stress
168,2024-01-07 23:00:00,12.46,13.16,5.74,94.13,32.14,475.65,7.58,0.853,9.89,High Stress
169,2024-01-08 00:00:00,6.63,26.9,6.29,33.64,25.91,598.52,5.62,0.328,4.96,Moderate Stress
170,2024-01-08 01:00:00,28.64,18.13,5.74,39.24,19.87,566.11,3.75,0.464,6.85,High Stress
171,2024-01-08 02:00:00,32.1,27.16,5.94,33.43,35.4,615.11,3.78,0.781,1.45,Healthy
172,2024-01-08 03:00:00,5.66,11.74,7.97,70.68,35.06,311.94,8.82,0.223,6.88,Moderate Stress
173,2024-01-08 04:00:00,25.48,14.37,6.61,33.54,27.16,610.51,0.58,0.705,8.66,Moderate Stress
174,2024-01-08 05:00:00,14.06,31.39,6.83,84.37,22.46,393.94,9.88,0.812,9.48,Healthy
175,2024-01-08 06:00:00,30.81,15.68,7.68,63.28,30.95,347.47,6.71,0.899,9.98,Healthy
176,2024-01-08 07:00:00,11.97,30.93,7.99,64.26,22.2,251.87,6.88,0.857,3.54,Moderate Stress
177,2024-01-08 08:00:00,32.64,16.98,6.96,66.5,20.9,810.12,0.57,0.44,6.18,High Stress
178,2024-01-08 09:00:00,20.47,26.07,7.53,41.1,33.26,541.95,6.13,0.64,5.06,Moderate Stress
179,2024-01-08 10:00:00,42.47,27.35,6.32,42.85,16.01,701.31,4.95,0.258,6.07,High Stress
180,2024-01-08 11:00:00,10.5,22.82,6.26,50.72,17.37,782.07,1.24,0.393,2.42,Healthy
181,2024-01-08 12:00:00,18.64,17.63,6.51,68.58,15.17,743.45,2.92,0.271,8.71,High Stress
182,2024-01-08 13:00:00,9.54,15.32,7.18,43.66,18.82,576.4,8.93,0.436,9.19,Moderate Stress
183,2024-01-08 14:00:00,41.99,10.83,7.21,37.56,16.72,510.32,5.59,0.856,5.05,Healthy
184,2024-01-08 15:00:00,40.09,17.6,6.29,93.06,39.9,500.77,4.25,0.46,3.52,Healthy
185,2024-01-08 16:00:00,15.32,26.33,5.83,31.43,22.22,712.04,0.91,0.621,2.27,Moderate Stress
186,2024-01-08 17:00:00,31.4,33.46,7.08,82.18,18.73,595.84,7.2,0.525,7.15,Moderate Stress
187,2024-01-08 18:00:00,37.69,31.78,5.82,81.22,21.02,879.31,7.09,0.544,3.81,Healthy
188,2024-01-08 19:00:00,27.21,29.15,6.95,49.32,38.4,899.76,6.22,0.927,9.19,High Stress
189,2024-01-08 20:00:00,26.19,29.71,7.23,38.82,28.0,336.45,5.2,0.422,7.04,High Stress
190,2024-01-08 21:00:00,14.67,26.62,7.25,39.47,24.12,308.99,4.45,0.67,6.81,High Stress
191,2024-01-08 22:00:00,8.72,16.51,7.38,75.33,36.83,704.32,6.01,0.515,6.03,Moderate Stress
192,2024-01-08 23:00:00,40.89,32.68,7.68,71.78,24.87,440.98,2.49,0.246,1.41,Healthy
193,2024-01-09 00:00:00,41.02,26.77,6.75,80.88,23.38,214.86,9.42,0.567,9.39,High Stress
194,2024-01-09 01:00:00,30.32,24.01,7.33,90.94,20.18,910.91,5.97,0.81,6.65,Healthy
195,2024-01-09 02:00:00,18.56,12.77,7.05,74.98,24.44,381.52,3.25,0.274,9.95,High Stress
196,2024-01-09 03:00:00,18.97,21.18,5.97,40.13,22.92,943.42,4.61,0.252,5.84,Healthy
197,2024-01-09 04:00:00,34.04,21.51,5.56,45.82,31.93,773.95,8.1,0.315,7.39,Moderate Stress
198,2024-01-09 05:00:00,40.88,31.61,6.21,84.74,22.24,810.12,1.78,0.773,1.51,Moderate Stress
199,2024-01-09 06:00:00,40.48,23.67,6.61,43.6,29.43,361.17,3.07,0.743,6.69,Moderate Stress
200,2024-01-09 07:00:00,36.2,19.51,7.04,34.71,16.65,387.36,6.86,0.624,7.88,High Stress
201,2024-01-09 08:00:00,30.68,34.42,7.62,75.71,19.78,617.01,3.29,0.551,8.01,Moderate Stress
202,2024-01-09 09:00:00,8.37,12.77,5.99,56.16,25.19,337.68,7.97,0.866,7.93,Moderate Stress
203,2024-01-09 10:00:00,11.47,20.56,5.81,89.8,38.42,444.35,1.48,0.775,3.04,Moderate Stress
204,2024-01-09 11:00:00,40.94,11.05,7.91,72.27,24.43,457.17,7.67,0.809,9.78,Healthy
205,2024-01-09 12:00:00,29.26,28.5,5.77,35.88,31.6,327.7,0.87,0.81,9.96,Healthy
206,2024-01-09 13:00:00,5.37,32.95,6.7,91.61,21.38,364.15,0.32,0.682,1.68,Healthy
207,2024-01-09 14:00:00,9.06,17.0,6.96,46.81,18.18,830.84,9.0,0.544,9.43,Healthy
208,2024-01-09 15:00:00,31.54,31.46,6.85,51.92,16.46,333.76,5.9,0.849,3.61,Healthy
209,2024-01-09 16:00:00,5.2,17.31,5.72,56.15,22.64,222.77,3.65,0.895,7.2,Healthy
210,2024-01-09 17:00:00,11.43,32.77,5.64,33.33,18.94,703.48,2.48,0.218,4.04,Healthy
211,2024-01-09 18:00:00,26.95,28.85,5.76,62.27,19.35,980.79,6.25,0.239,9.71,Moderate Stress
212,2024-01-09 19:00:00,32.68,30.12,6.96,38.02,34.02,464.97,5.19,0.919,1.91,Moderate Stress
213,2024-01-09 20:00:00,31.08,10.45,6.86,56.06,15.4,294.92,9.92,0.408,5.48,High Stress
214,2024-01-09 21:00:00,13.97,34.07,6.08,52.8,28.95,656.31,9.84,0.855,4.85,Moderate Stress
215,2024-01-09 22:00:00,33.49,28.17,7.09,80.23,24.49,925.08,6.42,0.492,3.93,Healthy
216,2024-01-09 23:00:00,14.49,17.62,7.55,82.21,27.66,827.25,4.54,0.289,6.81,Healthy
217,2024-01-10 00:00:00,18.02,30.73,5.6,39.97,29.07,698.01,5.01,0.26,2.18,High Stress
218,2024-01-10 01:00:00,34.86,17.04,6.75,53.83,22.83,452.05,6.89,0.317,7.45,Moderate Stress
219,2024-01-10 02:00:00,30.99,31.82,7.22,54.27,22.38,633.5,1.2,0.387,9.83,Moderate Stress
220,2024-01-10 03:00:00,38.97,12.81,6.13,39.84,33.34,273.0,3.42,0.566,8.24,High Stress
221,2024-01-10 04:00:00,31.3,27.59,6.27,81.9,36.78,743.16,0.94,0.726,8.74,Healthy
222,2024-01-10 05:00:00,27.73,23.52,7.03,75.97,19.81,780.08,0.92,0.94,4.24,Healthy
223,2024-01-10 06:00:00,8.75,12.41,7.74,42.37,17.44,972.03,2.12,0.531,3.92,Healthy
224,2024-01-10 07:00:00,19.71,16.05,7.52,53.84,37.44,408.32,4.96,0.589,5.65,Healthy
225,2024-01-10 08:00:00,15.61,10.31,6.96,36.88,23.75,214.77,7.89,0.591,1.41,High Stress
226,2024-01-10 09:00:00,14.76,21.72,7.33,70.83,28.78,636.49,4.96,0.605,9.51,Moderate Stress
227,2024-01-10 10:00:00,43.92,17.53,6.41,37.89,23.99,765.43,3.49,0.588,2.29,Healthy
228,2024-01-10 11:00:00,20.72,24.96,7.1,94.09,18.15,832.33,1.01,0.207,9.13,Moderate Stress
229,2024-01-10 12:00:00,40.68,17.43,6.67,80.74,29.73,354.99,5.59,0.201,1.75,Moderate Stress
230,2024-01-10 13:00:00,30.25,17.5,5.97,55.37,28.13,409.4,2.86,0.273,8.4,Healthy
231,2024-01-10 14:00:00,36.79,28.58,7.25,67.61,20.07,610.07,6.23,0.276,2.37,Healthy
232,2024-01-10 15:00:00,25.11,11.2,6.89,89.24,26.3,464.48,9.78,0.729,1.34,Healthy
233,2024-01-10 16:00:00,28.08,32.57,6.4,66.02,34.92,888.41,1.29,0.354,7.48,Moderate Stress
234,2024-01-10 17:00:00,24.7,31.31,7.78,41.34,29.76,579.01,2.28,0.871,3.52,High Stress
235,2024-01-10 18:00:00,12.81,26.7,5.55,54.62,17.42,839.66,4.84,0.896,7.43,Healthy
236,2024-01-10 19:00:00,33.9,24.83,6.29,84.8,28.7,664.5,9.69,0.932,6.0,Moderate Stress
237,2024-01-10 20:00:00,16.23,32.31,5.64,71.87,32.57,818.47,7.76,0.904,1.98,Moderate Stress
238,2024-01-10 21:00:00,5.97,14.63,7.42,72.3,34.82,466.14,9.0,0.404,9.39,Healthy
239,2024-01-10 22:00:00,30.82,11.97,7.26,86.34,30.73,865.13,3.47,0.582,5.07,High Stress
240,2024-01-10 23:00:00,12.08,15.99,6.33,88.11,18.82,419.66,9.92,0.332,7.61,Healthy
241,2024-01-11 00:00:00,42.62,29.86,7.19,89.79,32.75,636.88,1.21,0.805,5.51,Healthy
242,2024-01-11 01:00:00,43.16,10.87,6.49,36.17,31.93,371.21,0.72,0.866,6.44,High Stress
